Wavelength (nm),Intensity
379.762,22.795
380.037,22.911
380.313,23.028
380.588,23.15
380.864,23.245
381.141,23.34
381.418,23.392
381.695,23.451
381.973,23.519
382.251,23.614
382.529,23.685
382.807,23.685
383.086,23.647
383.366,23.649
383.645,23.715
383.925,23.872
384.206,24.024
384.486,24.203
384.767,24.33
385.048,24.469
385.33,24.591
385.612,24.732
385.894,24.868
386.176,25.001
386.459,25.117
386.742,25.25
387.025,25.383
387.309,25.532
387.593,25.663
387.877,25.801
388.161,25.942
388.446,26.102
388.731,26.281
389.016,26.504
389.301,26.732
389.587,26.968
389.872,27.158
390.158,27.345
390.445,27.519
390.731,27.728
391.018,27.912
391.305,28.121
391.592,28.254
391.879,28.17
392.167,27.98
392.455,27.725
392.743,27.643
393.031,27.614
393.319,27.692
393.608,27.858
393.896,28.102
394.185,28.376
394.474,28.639
394.764,28.837
395.053,28.97
395.343,29.041
395.633,29.073
395.923,29.087
396.213,29.144
396.503,29.309
396.793,29.635
397.084,30.085
397.374,30.615
397.665,31.19
397.956,31.738
398.247,32.27
398.539,32.761
398.83,33.265
399.122,33.77
399.413,34.234
399.705,34.481
399.997,34.671
400.289,34.834
400.581,35.149
400.873,35.409
401.165,35.675
401.458,35.884
401.75,36.085
402.043,36.242
402.336,36.418
402.628,36.557
402.921,36.673
403.214,36.779
403.507,36.893
403.801,37.007
404.094,37.102
404.387,37.192
404.681,37.311
404.974,37.422
405.268,37.539
405.561,37.677
405.855,37.846
406.149,38.041
406.443,38.285
406.736,38.508
407.03,38.725
407.324,38.901
407.618,39.072
407.913,39.257
408.207,39.376
408.501,39.484
408.795,39.506
409.089,39.56
409.384,39.653
409.678,39.818
409.973,40.035
410.267,40.279
410.561,40.57
410.856,40.8
411.151,40.977
411.445,41.093
411.74,41.194
412.034,41.316
412.329,41.433
412.624,41.566
412.918,41.734
413.213,41.932
413.508,42.135
413.802,42.309
414.097,42.488
414.392,42.659
414.687,42.849
414.982,43.031
415.276,43.248
415.571,43.449
415.866,43.598
416.161,43.717
416.455,43.796
416.75,43.934
417.045,44.092
417.34,44.32
417.635,44.594
417.929,44.86
418.224,45.028
418.519,45.204
418.814,45.4
419.108,45.652
419.403,45.883
419.698,46.11
419.992,46.39
420.287,46.631
420.582,46.851
420.876,46.965
421.171,47.057
421.465,47.139
421.76,47.323
422.055,47.551
422.349,47.847
422.644,48.159
422.938,48.466
423.232,48.742
423.527,48.997
423.821,49.263
424.115,49.464
424.41,49.602
424.704,49.735
424.998,49.844
425.292,49.879
425.586,49.868
425.881,49.915
426.175,50.045
426.469,50.121
426.763,50.132
427.056,50.118
427.35,50.118
427.644,50.045
427.938,49.841
428.232,49.548
428.525,49.301
428.819,49.163
429.113,49.185
429.406,49.437
429.7,49.991
429.993,50.783
430.287,51.591
430.58,52.308
430.873,52.918
431.166,53.458
431.46,53.795
431.753,53.906
432.046,53.906
432.339,53.985
432.632,54.164
432.925,54.402
433.218,54.663
433.51,55.01
433.803,55.471
434.096,55.965
434.388,56.386
434.681,56.703
434.973,56.931
435.266,57.04
435.558,57.067
435.85,57.004
436.143,56.918
436.435,56.825
436.727,56.85
437.019,56.988
437.311,57.205
437.603,57.477
437.895,57.832
438.186,58.266
438.478,58.706
438.77,59.096
439.061,59.446
439.353,59.81
439.644,60.233
439.936,60.708
440.227,61.245
440.518,61.745
440.809,62.114
441.1,62.377
441.391,62.618
441.682,62.895
441.973,63.188
442.264,63.446
442.555,63.717
442.845,63.926
443.136,64.065
443.426,64.1
443.717,64.127
444.007,64.208
444.297,64.339
444.588,64.488
444.878,64.735
445.168,65.142
445.458,65.644
445.748,66.113
446.038,66.417
446.327,66.64
446.617,66.781
446.907,66.922
447.196,67.098
447.486,67.369
447.775,67.665
448.064,67.901
448.354,68.078
448.643,68.249
448.932,68.379
449.221,68.46
449.51,68.436
449.799,68.287
450.087,68.018
450.376,67.679
450.665,67.359
450.953,67.079
451.242,66.908
451.53,66.846
451.818,66.859
452.107,66.938
452.395,67.038
452.683,67.179
452.971,67.28
453.259,67.388
453.547,67.549
453.835,67.749
454.122,67.956
454.41,68.102
454.698,68.23
454.985,68.338
455.272,68.352
455.56,68.251
455.847,68.083
456.134,67.882
456.421,67.757
456.708,67.671
456.995,67.652
457.282,67.662
457.569,67.703
457.856,67.785
458.142,67.896
458.429,68.018
458.716,68.156
459.002,68.292
459.288,68.447
459.575,68.599
459.861,68.729
460.147,68.783
460.433,68.821
460.719,68.775
461.005,68.74
461.291,68.639
461.577,68.561
461.862,68.485
462.148,68.452
462.434,68.455
462.719,68.49
463.004,68.574
463.29,68.691
463.575,68.778
463.86,68.843
464.145,68.835
464.431,68.813
464.716,68.805
465,68.875
465.285,69.071
465.57,69.309
465.855,69.546
466.139,69.714
466.424,69.855
466.709,69.936
466.993,69.961
467.277,69.923
467.562,69.936
467.846,69.988
468.13,70.142
468.414,70.427
468.698,70.799
468.982,71.168
469.266,71.488
469.55,71.798
469.834,72.118
470.117,72.414
470.401,72.601
470.685,72.764
470.968,72.918
471.252,73.157
471.535,73.401
471.818,73.624
472.101,73.827
472.385,74.047
472.668,74.28
472.951,74.478
473.234,74.628
473.517,74.766
473.8,74.978
474.082,75.249
474.365,75.604
474.648,75.919
474.931,76.177
475.213,76.337
475.496,76.522
475.778,76.698
476.061,76.88
476.343,77.051
476.625,77.243
476.907,77.474
477.19,77.661
477.472,77.865
477.754,78.011
478.036,78.144
478.318,78.25
478.6,78.394
478.881,78.54
479.163,78.641
479.445,78.665
479.726,78.638
480.008,78.538
480.29,78.369
480.571,78.187
480.853,77.995
481.134,77.791
481.415,77.517
481.697,77.127
481.978,76.622
482.259,76.104
482.54,75.659
482.821,75.284
483.102,75.016
483.383,74.91
483.664,75.021
483.945,75.284
484.226,75.661
484.507,76.096
484.788,76.559
485.068,76.969
485.349,77.327
485.629,77.648
485.91,77.951
486.191,78.272
486.471,78.543
486.751,78.711
487.032,78.798
487.312,78.85
487.592,78.877
487.873,78.85
488.153,78.822
488.433,78.869
488.713,78.991
488.993,79.118
489.273,79.267
489.553,79.403
489.833,79.571
490.113,79.78
490.393,80.043
490.673,80.364
490.952,80.673
491.232,80.947
491.512,81.123
491.792,81.267
492.071,81.419
492.351,81.585
492.63,81.709
492.91,81.766
493.189,81.783
493.469,81.753
493.748,81.728
494.027,81.69
494.307,81.699
494.586,81.761
494.865,81.864
495.145,81.924
495.424,81.848
495.703,81.693
495.982,81.549
496.261,81.449
496.54,81.376
496.819,81.324
497.098,81.302
497.377,81.324
497.656,81.378
497.935,81.468
498.214,81.587
498.493,81.685
498.771,81.785
499.05,81.853
499.329,81.926
499.608,81.983
499.886,82.076
500.165,82.171
500.444,82.268
500.722,82.38
501.001,82.494
501.279,82.599
501.558,82.654
501.836,82.716
502.115,82.792
502.393,82.898
502.672,82.99
502.95,83.042
503.229,83.044
503.507,83.017
503.785,83.006
504.064,82.971
504.342,82.925
504.62,82.911
504.898,82.979
505.177,83.085
505.455,83.188
505.733,83.256
506.011,83.348
506.289,83.422
506.567,83.492
506.845,83.489
507.123,83.465
507.402,83.419
507.68,83.416
507.958,83.424
508.236,83.378
508.514,83.272
508.791,83.161
509.069,83.077
509.347,82.96
509.625,82.819
509.903,82.721
510.181,82.675
510.459,82.599
510.737,82.404
511.015,82.092
511.292,81.739
511.57,81.392
511.848,81.142
512.126,80.977
512.403,80.906
512.681,80.868
512.959,80.852
513.237,80.844
513.514,80.86
513.792,80.944
514.07,81.118
514.347,81.403
514.625,81.712
514.903,81.983
515.18,82.198
515.458,82.38
515.735,82.624
516.013,82.86
516.291,83.099
516.568,83.278
516.846,83.419
517.123,83.492
517.401,83.527
517.678,83.606
517.956,83.788
518.233,84.018
518.511,84.222
518.788,84.349
519.066,84.436
519.343,84.482
519.621,84.499
519.898,84.469
520.176,84.436
520.453,84.36
520.731,84.238
521.008,84.108
521.285,84.043
521.563,84.065
521.84,84.138
522.118,84.222
522.395,84.352
522.672,84.51
522.95,84.672
523.227,84.813
523.505,84.933
523.782,85.058
524.059,85.218
524.337,85.41
524.614,85.63
524.892,85.826
525.169,86.005
525.446,86.143
525.724,86.208
526.001,86.157
526.278,86.059
526.556,85.95
526.833,85.874
527.11,85.872
527.388,85.912
527.665,85.991
527.943,86.053
528.22,86.108
528.497,86.159
528.775,86.181
529.052,86.235
529.329,86.295
529.607,86.393
529.884,86.498
530.161,86.604
530.439,86.661
530.716,86.653
530.993,86.645
531.271,86.645
531.548,86.645
531.825,86.615
532.103,86.561
532.38,86.501
532.657,86.428
532.935,86.355
533.212,86.271
533.489,86.189
533.767,86.14
534.044,86.091
534.322,86.037
534.599,85.969
534.876,85.945
535.154,85.931
535.431,85.92
535.708,85.877
535.986,85.842
536.263,85.79
536.541,85.779
536.818,85.801
537.095,85.896
537.373,85.994
537.65,86.105
537.928,86.184
538.205,86.241
538.482,86.254
538.76,86.243
539.037,86.243
539.315,86.241
539.592,86.241
539.869,86.243
540.147,86.279
540.424,86.3
540.702,86.276
540.979,86.205
541.257,86.124
541.534,86.119
541.812,86.165
542.089,86.235
542.367,86.279
542.644,86.292
542.921,86.344
543.199,86.387
543.476,86.436
543.754,86.441
544.031,86.441
544.309,86.417
544.587,86.406
544.864,86.382
545.142,86.379
545.419,86.376
545.697,86.382
545.974,86.39
546.252,86.371
546.529,86.376
546.807,86.401
547.084,86.444
547.362,86.46
547.64,86.452
547.917,86.417
548.195,86.384
548.472,86.336
548.75,86.284
549.028,86.208
549.305,86.146
549.583,86.086
549.86,86.015
550.138,85.929
550.416,85.839
550.693,85.782
550.971,85.752
551.249,85.741
551.526,85.717
551.804,85.684
552.082,85.633
552.359,85.573
552.637,85.511
552.915,85.467
553.193,85.467
553.47,85.465
553.748,85.457
554.026,85.413
554.303,85.378
554.581,85.362
554.859,85.386
555.137,85.432
555.414,85.467
555.692,85.511
555.97,85.541
556.248,85.608
556.525,85.657
556.803,85.69
557.081,85.698
557.359,85.72
557.637,85.75
557.914,85.75
558.192,85.698
558.47,85.611
558.748,85.524
559.026,85.486
559.304,85.448
559.581,85.427
559.859,85.405
560.137,85.419
560.415,85.402
560.693,85.356
560.971,85.324
561.249,85.315
561.527,85.294
561.804,85.267
562.082,85.223
562.36,85.212
562.638,85.163
562.916,85.139
563.194,85.106
563.472,85.093
563.75,85.085
564.028,85.085
564.306,85.085
564.584,85.06
564.862,85.044
565.14,85.025
565.418,85.014
565.696,84.995
565.973,84.998
566.251,85.003
566.529,85.02
566.807,85.06
567.085,85.109
